aor|total_pop|total_pop_se|total_pop_low|total_pop_upp|forborn_pop|forborn_pop_se|forborn_pop_low|forborn_pop_upp|noncitizen_pop|noncitizen_pop_se|noncitizen_pop_low|noncitizen_pop_upp|undocu_pop|undocu_pop_se|undocu_pop_low|undocu_pop_upp|year
PHI|12322903|3975.340394230411|12314990.282876568|12330815.717123432|872825|12770.3891835762|847406.1761648302|898243.8238351698|420509|10511.67297341389|399586.0383201979|441431.9616798021|128832|6613.535484141595|115668.08690522597|141995.91309477406|2015
PHO|5207988|1905.7925910234828|5204194.614736542|5211781.385263458|859130|9536.53543746365|840148.0010336334|878111.9989663666|488574|8957.140101617257|470745.2586016752|506402.7413983248|197729|6102.288632144501|185582.69830926304|209875.30169073696|2015
SEA|9279272|2242.3294583981187|9274808.754858129|9283735.245141871|1349513|16225.200941744914|1317217.5453744775|1381808.4546255225|704220|14622.10472025146|675115.4285855686|733324.5714144314|250439|8543.393049602717|233433.80150833965|267444.19849166035|2015
SFR|13577976|4916.0518864226815|13568190.843489168|13587761.156510832|4054537|20313.59308074276|4014103.8043819065|4094970.1956180935|1975568|19452.53612128763|1936848.6953878736|2014287.3046121264|583282|10996.438027834289|561394.1376157147|605169.8623842853|2015
SLC|6337965|2201.658045655592|6333582.70928017|6342347.29071983|878408|11683.789154208493|855151.9994217212|901664.0005782788|481396|10825.69824306959|459847.9866561942|502944.0133438058|243108|8485.406881817747|226218.22008819768|259997.77991180232|2015
SNA|5668614|4253.138987853559|5660148.338607489|5677079.661392511|1093155|13812.617550631016|1065661.672492518|1120648.327507482|705402|12030.432839262268|681456.022425931|729347.977574069|342618|9647.283190100725|323415.5631461144|361820.4368538856|2015
SND|2702187|2273.354129914651|2697662.0017941836|2706711.9982058164|813218|10759.239296994932|791802.2698793801|834633.7301206199|379824|10042.873786919758|359834.15975951095|399813.84024048905|116130|5139.778540949017|105899.52672263172|126360.47327736828|2015
SPM|9267562|5085.147869039798|9257440.26635502|9277683.73364498|699969|12647.242173691464|674795.2941565445|725142.7058434555|377773|9215.272109384508|359430.4596925478|396115.5403074522|138803|6086.106698867512|126688.90764175616|150917.09235824383|2015
WAS|7067286|2160.025532256506|7062986.5767252175|7071585.4232747825|1037806|10757.375479177066|1016393.9797159476|1059218.0202840525|496433|10453.377533122966|475626.0724915805|517239.9275084195|184931|6885.989257180119|171224.78123540344|198637.21876459656|2015
ATL|19512892|3926.942423820344|19505075.616626944|19520708.383373056|1922278|16742.67579719562|1888952.5374396571|1955603.4625603429|1116401|14743.811245739686|1087054.177806324|1145747.822193676|583561|11530.238625024202|560610.634104817|606511.365895183|2016
BAL|4670079|1022.2420946136|4668044.278007871|4672113.721992129|851741|10830.165626619011|830184.0945516691|873297.9054483309|408082|8896.895076373554|390373.1733248369|425790.8266751631|165522|6326.168587699825|152930.07640466164|178113.92359533836|2016
BOS|11763034|2661.64038705457|11757736.13733203|11768331.86266797|1818240|15640.641393497905|1787108.082050178|1849371.917949822|824641|12182.295089596211|800392.7481778278|848889.2518221722|177374|5409.01247456502|166607.62998286466|188140.37001713537|2016
BUF|4806681|3460.755755611771|4799792.537978687|4813569.462021313|331840|7807.262026472533|316300.03365808603|347379.96634191397|145985|4529.962091452863|136968.33600273315|155001.66399726685|27313|2572.2051531711077|22193.15371211555|32432.84628788445|2016
CHI|29757879|7162.577008312022|29743622.247088015|29772135.752911985|2849896|21238.27296886449|2807622.2751041986|2892169.7248958014|1482273|18117.655183549556|1446210.7094310268|1518335.2905689732|597528|12679.332259626291|572290.4204382492|622765.5795617508|2016
